             obj        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
       zeropoint    24.057000    0.001000    24.587000    0.001000    25.576000    0.001000    25.405000    0.001000    24.719000    0.001000    25.810000    0.001000   
      c20_offset          NaN         NaN    -0.033000    0.003000    -0.009000    0.004000    -0.014000    0.002000     0.009000    0.004000    -0.012000    0.005000   
   sig_intrinsic     0.004000    0.001000     0.002000    0.001000     0.003000    0.001000     0.002000    0.001000     0.001000    0.000000     0.005000    0.001000   
              nu     2.633000    0.465000     1.696000    0.219000     2.590000    0.448000     3.305000    0.740000     1.443000    0.154000     3.096000    0.553000   
         g191b2b    10.488000    0.001000    10.888000    0.001000    11.497000    0.001000    12.030000    0.001000    12.451000    0.001000    13.884000    0.001000   
           gd153    12.199000    0.002000    12.565000    0.002000    13.098000    0.002000    13.597000    0.001000    14.002000    0.001000    15.412000    0.002000   
            gd71    11.986000    0.001000    12.333000    0.001000    12.797000    0.001000    13.278000    0.001000    13.672000    0.001000    15.066000    0.002000   
     sdssj010322    18.193000    0.005000    18.524000    0.006000    19.082000    0.005000    19.568000    0.005000    19.965000    0.006000    21.354000    0.012000   
     sdssj022817    19.516000    0.008000    19.712000    0.010000    19.813000    0.007000    20.168000    0.007000    20.501000    0.006000    21.735000    0.017000   
     sdssj024854    17.826000    0.004000    18.037000    0.006000    18.368000    0.003000    18.745000    0.003000    19.077000    0.002000    20.338000    0.006000   
     sdssj072752    17.161000    0.003000    17.469000    0.003000    17.992000    0.003000    18.456000    0.002000    18.837000    0.003000    20.215000    0.007000   
     sdssj081508    18.948000    0.006000    19.261000    0.008000    19.715000    0.005000    20.183000    0.005000    20.579000    0.006000    21.960000    0.024000   
     sdssj102430    18.258000    0.018000    18.512000    0.005000    18.902000    0.004000    19.316000    0.004000    19.665000    0.008000    20.989000    0.013000   
     sdssj111059    17.038000    0.003000    17.352000    0.004000    17.865000    0.003000    18.312000    0.002000    18.689000    0.002000    20.055000    0.005000   
     sdssj111127    17.440000    0.004000    17.827000    0.006000    18.419000    0.003000    18.938000    0.004000    19.344000    0.003000    20.796000    0.009000   
     sdssj121405    16.937000    0.003000    17.280000    0.002000    17.759000    0.002000    18.235000    0.003000    18.629000    0.002000    20.036000    0.004000   
     sdssj130234    16.185000    0.002000    16.519000    0.002000    17.035000    0.002000    17.513000    0.002000    17.904000    0.002000    19.302000    0.004000   
     sdssj151421    15.108000    0.002000    15.388000    0.002000    15.707000    0.002000    16.119000    0.002000    16.471000    0.001000    17.785000    0.004000   
     sdssj155745    16.497000    0.002000    16.874000    0.002000    17.469000    0.003000    17.991000    0.002000    18.388000    0.002000    19.833000    0.005000   
     sdssj172135    20.369000    0.013000    20.075000    0.015000    19.654000    0.005000    19.669000    0.003000    19.768000    0.003000    20.550000    0.021000   
     sdssj181424    15.789000    0.002000    16.119000    0.002000    16.543000    0.002000    17.005000    0.002000    17.393000    0.001000    18.784000    0.002000   
     sdssj210150    18.066000    0.004000    18.332000    0.004000    18.654000    0.003000    19.063000    0.002000    19.414000    0.004000    20.738000    0.008000   
     sdssj235144    17.447000    0.004000    17.659000    0.003000    18.074000    0.003000    18.459000    0.003000    18.787000    0.002000    20.073000    0.004000   
     sdssj041053    18.114000    0.009000    18.401000    0.004000    18.878000    0.005000    19.253000    0.003000    19.394000    0.005000    19.497000    0.005000   
          wd0554    16.773000    0.005000    17.150000    0.004000    17.725000    0.005000    18.220000    0.003000    18.617000    0.005000    20.042000    0.007000   
     sdssj120650    18.237000    0.004000    18.486000    0.004000    18.670000    0.004000    19.059000    0.003000    19.411000    0.006000    20.701000    0.009000   
     sdssj131445    18.255000    0.004000    18.594000    0.005000    19.100000    0.005000    19.566000    0.005000    19.955000    0.009000    21.327000    0.012000   
     sdssj163800    18.013000    0.008000    18.315000    0.004000    18.838000    0.005000    19.280000    0.003000    19.660000    0.005000    20.995000    0.009000   
     sdssj203722    18.254000    0.007000    18.541000    0.004000    18.941000    0.006000    19.349000    0.012000    19.672000    0.010000    20.977000    0.023000   
     sdssj232941    17.941000    0.004000    18.106000    0.004000    18.159000    0.006000    18.469000    0.003000    18.775000    0.007000    19.993000    0.006000   
