              obj_ID        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
           zeropoint    23.986000    0.001000    24.556000    0.001000    25.583000    0.001000    25.417000    0.001000    24.748000    0.001000    25.807000    0.001000   
       sig_intrinsic     0.002000    0.001000     0.002000    0.000000     0.002000    0.000000     0.002000    0.001000     0.001000    0.000000     0.007000    0.001000   
                  nu     1.802000    0.267000     2.916000    0.524000     2.019000    0.294000     1.834000    0.285000     1.421000    0.163000          NaN         NaN   
   atlas020.50302230    17.670000    0.003000    17.994000    0.003000    18.460000    0.003000    18.922000    0.003000    19.320000    0.003000    20.704000    0.007000   
             g191b2b    10.489000    0.001000    10.890000    0.001000    11.500000    0.001000    12.030000    0.001000    12.450000    0.002000    13.881000    0.002000   
               gd153    12.203000    0.001000    12.567000    0.001000    13.098000    0.001000    13.598000    0.001000    14.003000    0.001000    15.418000    0.002000   
                gd71    11.984000    0.001000    12.329000    0.002000    12.794000    0.001000    13.276000    0.001000    13.673000    0.001000    15.065000    0.002000   
          sssj023824    17.789000    0.003000    17.971000    0.002000    18.095000    0.002000    18.438000    0.003000    18.757000    0.003000    19.990000    0.005000   
          sssj045822    17.022000    0.002000    17.350000    0.003000    17.755000    0.003000    18.216000    0.002000    18.600000    0.002000    19.998000    0.005000   
          sssj054114    18.020000    0.003000    18.215000    0.003000    18.276000    0.002000    18.624000    0.002000    18.959000    0.003000    20.192000    0.006000   
          sssj063941    17.321000    0.003000    17.652000    0.004000    18.178000    0.003000    18.638000    0.003000    19.016000    0.002000    20.379000    0.006000   
          sssj095657    17.697000    0.003000    17.859000    0.003000    17.862000    0.003000    18.178000    0.002000    18.496000    0.002000    19.689000    0.005000   
          sssj105525    17.369000    0.002000    17.653000    0.002000    18.013000    0.002000    18.427000    0.002000    18.793000    0.003000    20.133000    0.005000   
          sssj143459    17.837000    0.004000    17.976000    0.004000    17.968000    0.003000    18.285000    0.002000    18.584000    0.002000    19.758000    0.006000   
          sssj183717    17.641000    0.003000    17.790000    0.003000    17.771000    0.002000    18.091000    0.002000    18.411000    0.002000    19.605000    0.005000   
          sssj193018    16.728000    0.002000    17.033000    0.002000    17.484000    0.002000    17.927000    0.002000    18.300000    0.002000    19.654000    0.005000   
              wd0418    15.581000    0.001000    15.890000    0.002000    16.223000    0.001000    16.661000    0.002000    17.038000    0.001000    18.409000    0.003000   
              wd0757    18.310000    0.003000    18.495000    0.005000    18.819000    0.003000    19.146000    0.003000    19.445000    0.003000    20.896000    0.009000   
              wd1203    15.735000    0.003000    16.040000    0.002000    16.476000    0.002000    16.923000    0.003000    17.293000    0.002000    18.647000    0.005000   
              wd1529    15.598000    0.003000    15.968000    0.002000    16.553000    0.002000    17.049000    0.002000    17.457000    0.001000    18.889000    0.003000   
              wd2314    17.896000    0.003000    18.140000    0.003000    18.349000    0.003000    18.747000    0.003000    19.105000    0.003000    20.422000    0.006000   
