              obj_ID        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
           zeropoint    23.984813    0.005142    24.556401    0.001862    25.583667    0.011035    25.416858    0.010673    24.747944    0.024341    25.807465    0.000941   
       sig_intrinsic     0.038198    0.038198     0.013544    0.013544     0.079813    0.079813     0.074701    0.074701     0.181971    0.181971     0.007434    0.007434   
               alpha          nan         nan          nan         nan          nan         nan          nan         nan          nan         nan    -0.001952    0.010087   
   atlas020.50302230    17.667045    0.016394    17.993564    0.006292    18.458358    0.034629    18.920480    0.034085    19.319953    0.078018    20.715767    0.058313   
             g191b2b    10.488497    0.009978    10.889785    0.003569    11.499335    0.021954    12.030157    0.020465    12.449969    0.046096    13.878355    0.011441   
               gd153    12.201651    0.009768    12.567425    0.003619    13.096950    0.020478    13.597241    0.020568    14.004091    0.047308    15.419260    0.004737   
                gd71    11.983864    0.011367    12.328221    0.004202    12.793965    0.023815    13.275406    0.024331    13.672867    0.054143    15.065269    0.002273   
          sssj023824    17.878727    0.011997    18.002975    0.004811    18.231545    0.025419    18.591334    0.026287    19.224180    0.057555    20.000639    0.050863   
          sssj045822    17.020909    0.016613    17.349636    0.006225    17.754362    0.034064    18.216218    0.035490    18.608548    0.078423    20.008307    0.050794   
          sssj054114    18.018162    0.016942    18.214550    0.006492    18.275620    0.034959    18.623476    0.034770    18.959802    0.076893    20.203000    0.052930   
          sssj063941    17.320961    0.016031    17.652924    0.006116    18.178125    0.035250    18.636714    0.034765    19.015797    0.077034    20.389952    0.054874   
          sssj095657    17.695618    0.016575    17.857807    0.006394    17.854910    0.034587    18.177479    0.035390    18.491033    0.079035    19.698353    0.047808   
          sssj105525    17.368630    0.016620    17.652677    0.006290    18.013848    0.033995    18.427709    0.035403    18.791714    0.079045    20.144028    0.052258   
          sssj143459    17.832822    0.016434    17.976210    0.006415    17.965095    0.034647    18.284135    0.034457    18.583171    0.077347    19.767776    0.048620   
          sssj183717    17.635414    0.016057    17.790080    0.006351    17.771142    0.034391    18.087469    0.035237    18.410936    0.079181    19.613964    0.046777   
          sssj193018    16.727912    0.016515    17.032146    0.005958    17.484216    0.034077    17.926443    0.035857    18.302128    0.077710    19.663646    0.047354   
              wd0418    15.579831    0.013052    15.890052    0.004766    16.223336    0.029346    16.661448    0.026221    17.038458    0.058138    18.415840    0.034725   
              wd0757    18.307684    0.016607    18.502048    0.006824    18.818565    0.034233    19.145745    0.035369    19.449516    0.078859    20.907544    0.060366   
              wd1203    15.733064    0.016485    16.040569    0.005988    16.475587    0.034178    16.920270    0.034529    17.293658    0.079185    18.654897    0.037206   
              wd1529    15.589630    0.013467    15.967999    0.005147    16.538489    0.029250    17.049590    0.028506    17.458192    0.069165    18.896696    0.039465   
              wd2314    17.894595    0.016786    18.140398    0.006539    18.350074    0.034409    18.744095    0.035232    19.104225    0.078388    20.433036    0.055233   
