              obj_ID        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
           zeropoint    23.764226    0.001601    24.316437    0.001091    25.279382    0.001600    25.093769    0.001261    24.499584    0.143103    25.036016    0.048242   
       sig_intrinsic     0.001410    0.000795     0.001255    0.000738     0.001382    0.000701     0.001017    0.000672     0.000635    0.000475     0.440889    0.021824   
                  nu     0.500477    0.043520     0.508189    0.044426     0.514296    0.046087     0.488583    0.044872     0.475829    0.042008          nan         nan   
   atlas020.50302230    17.448099    0.002902    17.753551    0.002980    18.156503    0.003534    18.598018    0.002791    19.071682    0.143132    19.932490    0.259162   
             g191b2b    10.267783    0.001799    10.649211    0.001379    11.195770    0.002110    11.705657    0.001835    12.202041    0.143125    13.109248    0.088211   
               gd153    11.981437    0.002238    12.327224    0.001533    12.794346    0.002232    13.275029    0.001772    13.754698    0.143101    14.646882    0.102107   
                gd71    11.762266    0.002093    12.089716    0.001705    12.489660    0.001871    12.952724    0.001710    13.424089    0.143101    14.293737    0.102260   
          sssj023824    17.567308    0.003624    17.731352    0.002152    17.790887    0.002883    18.114289    0.003631    18.507953    0.143123    19.218864    0.259620   
          sssj045822    16.801111    0.002675    17.110967    0.003176    17.450833    0.003529    17.892574    0.002114    18.352513    0.143126    19.226350    0.259360   
          sssj054114    17.798209    0.003203    17.974360    0.003514    17.972038    0.002680    18.300382    0.002177    18.710577    0.143127    19.420277    0.258538   
          sssj063941    17.098375    0.003544    17.411992    0.005651    17.873552    0.003388    18.314774    0.003906    18.768501    0.143129    19.607230    0.260454   
          sssj095657    17.475022    0.004030    17.619103    0.003256    17.558256    0.002906    17.854141    0.002814    18.248245    0.143114    18.916695    0.258930   
          sssj105525    17.147314    0.002968    17.412615    0.002178    17.708855    0.002264    18.102668    0.002364    18.545179    0.143138    19.361021    0.259576   
          sssj143459    17.615554    0.004932    17.736051    0.004367    17.663844    0.003223    17.961537    0.002125    18.335820    0.143126    18.986501    0.259589   
          sssj183717    17.419289    0.003418    17.551425    0.002949    17.466173    0.002614    17.767926    0.002189    18.163145    0.143126    18.832384    0.259203   
          sssj193018    16.506387    0.002499    16.793404    0.002985    17.180008    0.002099    17.603392    0.002082    18.052010    0.143127    18.882097    0.258779   
              wd0418    15.359968    0.002003    15.649719    0.001784    15.919359    0.001967    16.337657    0.002302    16.790129    0.143105    17.637593    0.154941   
              wd0757    18.089089    0.003551    18.254940    0.004959    18.514775    0.003560    18.822321    0.004005    19.197059    0.143133    20.124146    0.259736   
              wd1203    15.514050    0.003695    15.799880    0.001580    16.172411    0.002346    16.599456    0.003756    17.044779    0.143118    17.876223    0.257764   
              wd1529    15.377070    0.003591    15.728260    0.003392    16.248152    0.002538    16.724973    0.002072    17.208532    0.143108    18.117248    0.155012   
              wd2314    17.674195    0.002898    17.900693    0.003711    18.044955    0.004085    18.423780    0.003687    18.857168    0.143123    19.650900    0.259401   
