              obj_ID        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
           zeropoint    23.985865    0.000643    24.556457    0.000691    25.583402    0.000660    25.417263    0.000730    24.747770    0.000670    25.807475    0.000950   
       sig_intrinsic     0.001779    0.000703     0.002476    0.000480     0.001892    0.000477     0.001787    0.000653     0.000706    0.000493     0.007439    0.000513   
                  nu     1.802651    0.268026     2.917299    0.522474     2.011714    0.290605     1.825359    0.286134     1.422087    0.164478          nan         nan   
   atlas020.50302230    17.669849    0.002789    17.993766    0.002997    18.459651    0.003033    18.921602    0.002532    19.319841    0.002952    20.703965    0.006982   
             g191b2b    10.489373    0.001013    10.889767    0.001178    11.499668    0.001197    12.029593    0.001333    12.449912    0.001545    13.880699    0.001644   
               gd153    12.202659    0.001509    12.567282    0.001329    13.097812    0.001474    13.598239    0.001449    14.003105    0.001195    15.418444    0.002040   
                gd71    11.984324    0.001444    12.329363    0.001564    12.793978    0.001328    13.275934    0.001506    13.672685    0.001346    15.065150    0.002204   
          sssj023824    17.789255    0.003074    17.971442    0.002258    18.094909    0.002206    18.438160    0.002904    18.756556    0.002842    19.990380    0.005264   
          sssj045822    17.022439    0.002144    17.350233    0.002699    17.754534    0.002639    18.216088    0.001920    18.600470    0.002196    19.998133    0.005352   
          sssj054114    18.019561    0.002947    18.214696    0.003393    18.275917    0.002267    18.623989    0.002052    18.959234    0.002598    20.192244    0.005532   
          sssj063941    17.320625    0.002988    17.652243    0.003832    18.177617    0.002597    18.638084    0.003220    19.016477    0.002448    20.378949    0.005735   
          sssj095657    17.696651    0.003228    17.858626    0.002973    17.861795    0.002465    18.178107    0.002331    18.496344    0.002054    19.688695    0.005159   
          sssj105525    17.369297    0.002477    17.652788    0.002428    18.013005    0.001918    18.426576    0.002310    18.792913    0.002867    20.133414    0.005503   
          sssj143459    17.836856    0.004068    17.976265    0.003547    17.968026    0.002635    18.284919    0.001981    18.584010    0.002343    19.757873    0.005603   
          sssj183717    17.641050    0.003024    17.790502    0.002962    17.770509    0.002081    18.091267    0.002066    18.410993    0.001993    19.604546    0.005062   
          sssj193018    16.728340    0.001924    17.032893    0.002478    17.484080    0.001597    17.926834    0.001830    18.300314    0.002217    19.654049    0.005102   
              wd0418    15.581462    0.001451    15.889980    0.001594    16.223308    0.001445    16.661390    0.001890    17.038451    0.001136    18.408843    0.002910   
              wd0757    18.310164    0.003375    18.495140    0.004531    18.818622    0.003011    19.146115    0.003424    19.445531    0.003246    20.895654    0.009055   
              wd1203    15.735483    0.002681    16.040264    0.001644    16.475867    0.001715    16.922739    0.002908    17.292898    0.001776    18.647438    0.004594   
              wd1529    15.597964    0.002760    15.968086    0.002290    16.552835    0.001874    17.049200    0.001802    17.456728    0.001335    18.888718    0.003122   
              wd2314    17.895904    0.002616    18.140308    0.003363    18.349308    0.003087    18.747046    0.003223    19.105268    0.002669    20.421964    0.006010   
