              obj_ID        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
           zeropoint    23.984803    0.005102    24.556373    0.001861    25.583154    0.011057    25.417438    0.011105    24.747548    0.024138    25.807464    0.000980   
       sig_intrinsic     0.038205    0.038205     0.013577    0.013577     0.079845    0.079845     0.074724    0.074724     0.181607    0.181607     0.007449    0.007449   
               alpha          nan         nan          nan         nan          nan         nan          nan         nan          nan         nan    -0.373667    0.034340   
   atlas020.50302230    17.667004    0.016615    17.993688    0.006403    18.458291    0.035302    18.922309    0.034855    19.320307    0.078423    24.132419    0.469246   
             g191b2b    10.488197    0.009859    10.889837    0.003495    11.498757    0.022114    12.030504    0.020669    12.449019    0.046615    13.207912    0.091978   
               gd153    12.201632    0.009663    12.567369    0.003491    13.096305    0.021474    13.598201    0.021010    14.004300    0.045724    15.669913    0.034570   
                gd71    11.983614    0.011716    12.328177    0.004157    12.793961    0.023603    13.276108    0.024348    13.670979    0.054011    15.104302    0.006448   
          sssj023824    17.878516    0.011905    18.003065    0.004732    18.230454    0.025556    18.592239    0.025935    19.223750    0.057112    22.989878    0.410148   
          sssj045822    17.020918    0.016294    17.349591    0.006106    17.753008    0.034228    18.216300    0.034269    18.607693    0.077258    23.002566    0.410941   
          sssj054114    18.017782    0.016493    18.214557    0.006583    18.275319    0.034524    18.625251    0.036031    18.959601    0.075936    23.313248    0.426946   
          sssj063941    17.321117    0.016534    17.652806    0.006155    18.177759    0.034716    18.637956    0.035078    19.016952    0.077885    23.611959    0.442125   
          sssj095657    17.695846    0.016297    17.857916    0.006341    17.854792    0.034453    18.179499    0.036273    18.489005    0.077324    22.507068    0.385289   
          sssj105525    17.368412    0.016513    17.652698    0.006112    18.011864    0.035049    18.428057    0.035206    18.787631    0.078649    23.219261    0.421678   
          sssj143459    17.832896    0.016231    17.976150    0.006364    17.964232    0.034091    18.284991    0.034912    18.584809    0.078298    22.617940    0.390991   
          sssj183717    17.634800    0.016459    17.789956    0.006175    17.770358    0.034635    18.087549    0.035091    18.410566    0.078232    22.372104    0.378392   
          sssj193018    16.727854    0.016342    17.032075    0.006185    17.483812    0.033444    17.927382    0.036319    18.300478    0.079047    22.451609    0.382548   
              wd0418    15.579856    0.013138    15.889973    0.004945    16.222750    0.029434    16.662450    0.026205    17.039185    0.058288    20.457798    0.280155   
              wd0757    18.307946    0.016545    18.502171    0.006650    18.817875    0.034770    19.146097    0.034625    19.446077    0.077387    24.439340    0.484139   
              wd1203    15.732725    0.016433    16.040444    0.005923    16.475095    0.034444    16.920699    0.034408    17.293696    0.076610    20.839934    0.299800   
              wd1529    15.589700    0.013944    15.968099    0.005347    16.537708    0.028691    17.049908    0.028804    17.457564    0.068282    21.226121    0.319631   
              wd2314    17.894820    0.016742    18.140283    0.006544    18.349947    0.034808    18.745597    0.034828    19.103710    0.077920    23.681373    0.445574   
