          obj_ID        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
       zeropoint    24.057054    0.000801    24.587120    0.000850    25.575864    0.000807    25.404559    0.000615    24.718880    0.000590    25.809948    0.000832   
     c20_offset           nan         nan    -0.032474    0.002749    -0.009250    0.003608    -0.013844    0.002207     0.008739    0.004119    -0.012407    0.005343   
   sig_intrinsic     0.003637    0.003637     0.002369    0.002369     0.003018    0.003018     0.001786    0.001786     0.000540    0.000540     0.004746    0.004746   
              nu     2.618684    0.458656     1.696109    0.219591     2.594112    0.436204     3.298150    0.746756     1.445789    0.155175     3.097318    0.537590   
         g191b2b    10.487763    0.001467    10.887515    0.001406    11.497353    0.001298    12.029662    0.001030    12.451342    0.001223    13.883588    0.001474   
           gd153    12.199075    0.001587    12.565176    0.001510    13.098283    0.001766    13.596667    0.001385    14.001771    0.001236    15.412263    0.001690   
            gd71    11.986253    0.001531    12.333251    0.001442    12.797140    0.001500    13.277928    0.001300    13.671966    0.001112    15.065999    0.001890   
     sdssj010322    18.192840    0.004428    18.524152    0.005590    19.081561    0.005108    19.567683    0.004762    19.964833    0.005834    21.353618    0.012249   
     sdssj022817    19.515506    0.008314    19.712443    0.010538    19.813540    0.007046    20.167963    0.007224    20.501446    0.005733    21.735279    0.017142   
     sdssj024854    17.825965    0.003647    18.037010    0.005705    18.367945    0.002953    18.744989    0.002592    19.077271    0.002051    20.338357    0.005713   
     sdssj072752    17.160928    0.002833    17.468603    0.002966    17.991588    0.002701    18.455747    0.002517    18.837004    0.002837    20.215098    0.006730   
     sdssj081508    18.948131    0.006533    19.260838    0.008063    19.714761    0.005282    20.182714    0.005218    20.579390    0.006545    21.959730    0.024842   
     sdssj102430    18.258731    0.017242    18.511713    0.004535    18.902367    0.004519    19.316456    0.003930    19.665097    0.007982    20.988933    0.013027   
     sdssj111059    17.037936    0.003243    17.351609    0.004319    17.865138    0.002463    18.312487    0.001784    18.688706    0.001986    20.054870    0.004644   
     sdssj111127    17.440445    0.004389    17.826876    0.005496    18.419091    0.002840    18.938012    0.003837    19.344255    0.002504    20.795727    0.009147   
     sdssj121405    16.937513    0.002516    17.279943    0.002221    17.759086    0.001926    18.235201    0.002650    18.629140    0.002034    20.036286    0.004151   
     sdssj130234    16.185433    0.001712    16.518826    0.001869    17.034864    0.002375    17.513062    0.002155    17.903673    0.001525    19.301554    0.004466   
     sdssj151421    15.107509    0.001744    15.387945    0.001654    15.707370    0.001693    16.119148    0.001497    16.471208    0.001178    17.785383    0.004435   
     sdssj155745    16.497341    0.002491    16.873841    0.002400    17.468563    0.002659    17.990656    0.001838    18.388041    0.001811    19.832583    0.004663   
     sdssj172135    20.368904    0.012913    20.075444    0.014998    19.654250    0.004406    19.668843    0.003055    19.767918    0.003111    20.550077    0.019997   
     sdssj181424    15.788786    0.001778    16.118549    0.001702    16.542523    0.001963    17.004620    0.001915    17.392618    0.001180    18.784027    0.002533   
     sdssj210150    18.065710    0.004024    18.331579    0.004554    18.654440    0.002940    19.062657    0.002402    19.413844    0.003743    20.738104    0.008480   
     sdssj235144    17.446781    0.003675    17.659032    0.002927    18.073514    0.002757    18.458558    0.002660    18.786910    0.002249    20.073144    0.004100   
     sdssj041053    18.113745    0.009154    18.401443    0.004038    18.877980    0.004768    19.252704    0.003258    19.393464    0.005395    19.496698    0.005597   
          wd0554    16.773199    0.004863    17.150281    0.003683    17.725161    0.004853    18.219511    0.002598    18.617105    0.004979    20.041553    0.007033   
     sdssj120650    18.237177    0.004107    18.486071    0.004150    18.670378    0.004453    19.059161    0.002994    19.411247    0.006482    20.701008    0.008429   
     sdssj131445    18.255296    0.004502    18.594159    0.005058    19.100247    0.004757    19.565806    0.004524    19.955402    0.008541    21.326606    0.012338   
     sdssj163800    18.013225    0.006917    18.314986    0.004092    18.837986    0.004753    19.279908    0.003290    19.660399    0.004757    20.994645    0.008781   
     sdssj203722    18.253586    0.008106    18.541197    0.004453    18.941036    0.005959    19.349604    0.011187    19.671775    0.009778    20.976825    0.023441   
     sdssj232941    17.940994    0.003751    18.106326    0.003840    18.158746    0.005563    18.468640    0.002729    18.775525    0.007065    19.993344    0.006815   
